symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
BTC-USD,99829.3751284665754,1,ask,100387.16627952,0.00558745,2024-12-08T12:18:29.762067959-05:00
BTC-USD,99870.83696995,1,ask,100427.9598959,0.00557843,2024-12-08T12:19:29.896652507-05:00
BTC-USD,99855.5312268609466,1,ask,100413.69470482,0.00558971,2024-12-08T12:20:30.057084137-05:00
BTC-USD,99843.2203,1,ask,100402.028716,0.00559686,2024-12-08T12:21:30.194554285-05:00
BTC-USD,99885.4434229901436,1,ask,100440.35391279,0.00555547,2024-12-08T12:22:30.337522183-05:00
BTC-USD,100031.681752783171,1,ask,100594.9572315,0.00563097,2024-12-08T12:23:30.476011732-05:00
BTC-USD,100042.6676856167156,1,ask,100603.20649916,0.005603,2024-12-08T12:24:30.629951166-05:00
BTC-USD,100053.5184236722744,1,ask,100612.86417857,0.00559047,2024-12-08T12:25:30.777026814-05:00
BTC-USD,100038.85760072865,1,ask,100600.626169537452,0.0056155,2024-12-08T12:26:30.915093175-05:00
BTC-USD,100028.3865152448096,1,ask,100587.75421255,0.00559209,2024-12-08T12:27:31.062527624-05:00
BTC-USD,99985.7055482412092,1,ask,100546.49,0.00560865,2024-12-08T12:28:31.218787527-05:00
BTC-USD,99951.6711093789172,1,ask,100512.9854831467764,0.00561586,2024-12-08T12:29:31.380698456-05:00
BTC-USD,99947.6476659551594,1,ask,100509.7078352087028,0.00562355,2024-12-08T12:30:31.530870758-05:00
BTC-USD,99961.3880812399722,1,ask,100517.38394301,0.00556211,2024-12-08T12:31:31.701688581-05:00
BTC-USD,99957.8304484073788,1,ask,100513.77698,0.00556181,2024-12-08T12:32:31.860960917-05:00
BTC-USD,99906.6073907227854,1,ask,100464.6208894455708,0.00558535,2024-12-08T12:33:31.993544437-05:00
BTC-USD,99972.9937168805148,1,ask,100534.6193983176024,0.00561777,2024-12-08T12:34:32.169363428-05:00
BTC-USD,99915.103337245,1,ask,100473.60247449,0.00558974,2024-12-08T12:35:32.326571315-05:00
