symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
BTC-USD,97498.882624,1,ask,97500.865248,0.00002033,2024-12-10T22:18:53.43223291-05:00
BTC-USD,97435.149676,1,ask,97457.760348,0.00023206,2024-12-10T22:19:55.046398915-05:00
BTC-USD,97376.60327,1,ask,97378.42654,0.00001872,2024-12-10T22:20:55.716284012-05:00
BTC-USD,97362.199506,1,ask,97375.65102,0.00013816,2024-12-10T22:21:56.302906062-05:00
BTC-USD,97281.818606,1,ask,97288.8172,0.00007194,2024-12-10T22:22:56.98796335-05:00
BTC-USD,97316.942634,1,ask,97318.205268,0.00001297,2024-12-10T22:23:57.625163337-05:00
BTC-USD,97330.748792,1,ask,97335.597584,0.00004982,2024-12-10T22:24:58.299760059-05:00
BTC-USD,97305.750792,1,ask,97308.501584,0.00002827,2024-12-10T22:25:58.977434154-05:00
BTC-USD,97268.346448,1,ask,97276.5445,0.00008428,2024-12-10T22:26:59.719249235-05:00
BTC-USD,97409.699824,1,ask,97412.499648,0.00002874,2024-12-10T22:28:00.653418177-05:00
BTC-USD,97379.282826,1,ask,97383.745652,0.00004583,2024-12-10T22:29:01.2546819-05:00
BTC-USD,97368.131218,1,ask,97371.662436,0.00003627,2024-12-10T22:30:01.89672593-05:00
