symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
DOGE-USD,0.463792315,1,ask,0.46634615,0.00550642,2024-12-08T12:19:18.002592096-05:00
DOGE-USD,0.46332247,1,ask,0.46584894,0.00545294,2024-12-08T12:20:18.126236871-05:00
DOGE-USD,0.463573075,1,ask,0.46606515,0.0053758,2024-12-08T12:21:18.229677103-05:00
DOGE-USD,0.463865925,1,ask,0.46638185,0.00542382,2024-12-08T12:22:18.363149706-05:00
DOGE-USD,0.464859245,1,ask,0.46740993,0.005487,2024-12-08T12:23:18.465232872-05:00
DOGE-USD,0.465540285,1,ask,0.46809576,0.00548927,2024-12-08T12:24:18.603179111-05:00
DOGE-USD,0.465463855,1,ask,0.46802838,0.00550961,2024-12-08T12:25:18.744455808-05:00
DOGE-USD,0.46504019,1,ask,0.46760238,0.00550961,2024-12-08T12:26:18.885520695-05:00
DOGE-USD,0.46454699,1,ask,0.46709966,0.00549497,2024-12-08T12:27:19.026255319-05:00
DOGE-USD,0.464661145,1,ask,0.46723651,0.00554246,2024-12-08T12:28:19.153528766-05:00
DOGE-USD,0.46420378,1,ask,0.46672155,0.00542385,2024-12-08T12:29:19.316930799-05:00
DOGE-USD,0.464000535,1,ask,0.46649407,0.00537399,2024-12-08T12:30:19.479545884-05:00
DOGE-USD,0.464064955,1,ask,0.46661297,0.00549064,2024-12-08T12:31:19.632631289-05:00
DOGE-USD,0.4636477,1,ask,0.46621,0.00552639,2024-12-08T12:32:19.79433114-05:00
DOGE-USD,0.46353898,1,ask,0.466092,0.00550767,2024-12-08T12:33:19.952539057-05:00
DOGE-USD,0.46445877,1,ask,0.466963,0.00539172,2024-12-08T12:34:20.088783333-05:00
DOGE-USD,0.463105835,1,ask,0.46562957,0.00544959,2024-12-08T12:35:20.252716721-05:00
DOGE-USD,0.46310909,1,ask,0.465626,0.00543481,2024-12-08T12:36:20.419990175-05:00
DOGE-USD,0.46286072,1,ask,0.465488,0.00567618,2024-12-08T12:37:20.563656043-05:00
DOGE-USD,0.46267425,1,ask,0.465235,0.00553467,2024-12-08T12:38:20.707484973-05:00
DOGE-USD,0.46316301,1,ask,0.465729,0.00554014,2024-12-08T12:39:20.862968128-05:00
DOGE-USD,0.4634923,1,ask,0.466045,0.00550753,2024-12-08T12:40:21.013498675-05:00
DOGE-USD,0.46398838,1,ask,0.466548,0.00551656,2024-12-08T12:41:21.161893193-05:00
DOGE-USD,0.46348725,1,ask,0.466023,0.00547102,2024-12-08T12:42:21.315483029-05:00
DOGE-USD,0.462939755,1,ask,0.465473,0.00547208,2024-12-08T12:43:21.487924902-05:00
DOGE-USD,0.46347037,1,ask,0.466035,0.00553354,2024-12-08T12:44:21.635598077-05:00
DOGE-USD,0.46377541,1,ask,0.4662825,0.00540583,2024-12-08T12:45:21.771431339-05:00
DOGE-USD,0.464117,1,ask,0.466701,0.00556756,2024-12-08T12:46:21.916250287-05:00
DOGE-USD,0.464894715,1,ask,0.46750103,0.00560625,2024-12-08T12:47:22.06439649-05:00
DOGE-USD,0.465293765,1,ask,0.46786931,0.00553531,2024-12-08T12:48:22.234686898-05:00
DOGE-USD,0.46450392,1,ask,0.46708916,0.00556559,2024-12-08T12:49:22.370911114-05:00
