symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
DOGE-USD,0.39301582,1,ask,0.39493964,0.00489502,2024-12-10T22:18:54.5822493-05:00
DOGE-USD,0.3923555,1,ask,0.392411,0.00014145,2024-12-10T22:19:55.201388822-05:00
DOGE-USD,0.3914095,1,ask,0.391417,0.00001916,2024-12-10T22:20:55.868895752-05:00
DOGE-USD,0.391417,1,ask,0.391765,0.00088908,2024-12-10T22:21:56.458262788-05:00
DOGE-USD,0.390091,1,ask,0.390099,0.00002051,2024-12-10T22:22:57.145964864-05:00
DOGE-USD,0.3913068,1,ask,0.3931706,0.00476301,2024-12-10T22:23:57.790404873-05:00
DOGE-USD,0.3905155,1,ask,0.390527,0.00002945,2024-12-10T22:24:58.449978638-05:00
DOGE-USD,0.3902205,1,ask,0.390222,0.00000384,2024-12-10T22:25:59.127847785-05:00
DOGE-USD,0.390432,1,ask,0.390524,0.00023564,2024-12-10T22:26:59.882861107-05:00
DOGE-USD,0.391097,1,ask,0.391134,0.00009461,2024-12-10T22:28:00.807195927-05:00
DOGE-USD,0.39090417,1,ask,0.3931002,0.00561782,2024-12-10T22:29:01.432951852-05:00
DOGE-USD,0.391049,1,ask,0.391053,0.00001023,2024-12-10T22:30:02.061696712-05:00
