symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
ETH-USD,3981.72526515295,1,ask,4003.3099481,0.00542094,2024-12-08T12:19:38.055122629-05:00
ETH-USD,3982.549813563346,1,ask,4004.14472737,0.00542238,2024-12-08T12:20:38.188095949-05:00
ETH-USD,3980.323288425828,1,ask,4002.07286558,0.00546427,2024-12-08T12:21:38.331441088-05:00
ETH-USD,3984.07171931739,1,ask,4005.53267362,0.00538669,2024-12-08T12:22:38.480976809-05:00
ETH-USD,3989.590819345,1,ask,4011.20514969,0.00541768,2024-12-08T12:23:38.622861536-05:00
ETH-USD,3990.32204187,1,ask,4011.94941074,0.00541996,2024-12-08T12:24:38.768345143-05:00
ETH-USD,3992.46313091399,1,ask,4014.11179084,0.00542238,2024-12-08T12:25:38.896895204-05:00
ETH-USD,3990.82679709258,1,ask,4012.41205951,0.00540872,2024-12-08T12:26:39.010565946-05:00
ETH-USD,3990.014536460184,1,ask,4011.54710747,0.00539661,2024-12-08T12:27:39.143665469-05:00
ETH-USD,3987.809265730812,1,ask,4009.49536079,0.0054381,2024-12-08T12:28:39.297280069-05:00
ETH-USD,3987.437245121212,1,ask,4009.12323027,0.00543858,2024-12-08T12:29:39.434390156-05:00
ETH-USD,3987.819229930384,1,ask,4009.51547596,0.00544063,2024-12-08T12:30:39.582731579-05:00
ETH-USD,3988.256054607262,1,ask,4009.8775489,0.00542129,2024-12-08T12:31:39.724721237-05:00
ETH-USD,3991.879315413522,1,ask,4013.39770253,0.00539054,2024-12-08T12:32:39.903121393-05:00
ETH-USD,3990.081472588738,1,ask,4011.68791362,0.00541504,2024-12-08T12:33:40.034815513-05:00
ETH-USD,3992.281382425556,1,ask,4013.93075437,0.00542281,2024-12-08T12:34:40.132556314-05:00
ETH-USD,3990.601017816998,1,ask,4012.24108061,0.00542276,2024-12-08T12:35:40.294967347-05:00
ETH-USD,3988.852103145,1,ask,4010.54134929,0.00543747,2024-12-08T12:36:40.422628319-05:00
ETH-USD,3987.313080138734,1,ask,4009.01259687,0.00544214,2024-12-08T12:37:40.548952348-05:00
ETH-USD,3986.560413144598,1,ask,4008.25827824,0.00544275,2024-12-08T12:38:40.725364011-05:00
ETH-USD,3989.305082310282,1,ask,4010.91347982,0.00541658,2024-12-08T12:39:40.869781248-05:00
ETH-USD,3989.891285443926,1,ask,4011.50687714,0.00541759,2024-12-08T12:40:41.010507842-05:00
ETH-USD,3989.086359549948,1,ask,4010.66204027,0.00540868,2024-12-08T12:41:41.154040185-05:00
ETH-USD,3986.825607182474,1,ask,4008.41919955,0.00541624,2024-12-08T12:42:41.323994509-05:00
ETH-USD,3984.407904487662,1,ask,4005.89474656,0.00539273,2024-12-08T12:43:41.458724743-05:00
ETH-USD,3987.450579240984,1,ask,4009.03271203,0.00541251,2024-12-08T12:44:41.597730724-05:00
ETH-USD,3986.615920242352,1,ask,4008.31862373,0.00544389,2024-12-08T12:45:41.687123706-05:00
ETH-USD,3988.623412361256,1,ask,4010.21950668,0.00541442,2024-12-08T12:46:41.819064378-05:00
ETH-USD,3987.692081983098,1,ask,4009.44507288,0.00545503,2024-12-08T12:47:41.963948755-05:00
ETH-USD,3989.544845883586,1,ask,4011.24538002,0.00543935,2024-12-08T12:48:42.079048487-05:00
ETH-USD,3986.32546906684,1,ask,4007.87609014,0.00540614,2024-12-08T12:49:42.219858291-05:00
ETH-USD,3984.524668396798,1,ask,4005.86457382,0.0053557,2024-12-08T12:50:42.350704311-05:00
ETH-USD,3987.75779623236,1,ask,4009.37466981,0.00542081,2024-12-08T12:51:42.471835075-05:00
ETH-USD,3990.205240370428,1,ask,4012.04998656,0.00547459,2024-12-08T12:52:42.603954998-05:00
ETH-USD,3988.487309364662,1,ask,4010.23962184,0.00545378,2024-12-08T12:53:42.704633545-05:00
ETH-USD,3987.040103636496,1,ask,4008.91202105,0.00548575,2024-12-08T12:54:42.837200101-05:00
ETH-USD,3989.017583274198,1,ask,4010.7022706,0.0054361,2024-12-08T12:55:42.98386256-05:00
ETH-USD,3988.94547311,1,ask,4010.47094622,0.00539628,2024-12-08T12:56:43.0785876-05:00
ETH-USD,3989.351368314948,1,ask,4010.9235374,0.00540744,2024-12-08T12:57:43.236423968-05:00
ETH-USD,3989.976921730564,1,ask,4011.65774087,0.00543382,2024-12-08T12:58:43.393296656-05:00
ETH-USD,3987.866145815,1,ask,4009.47524563,0.00541871,2024-12-08T12:59:43.553845708-05:00
ETH-USD,3987.738122296598,1,ask,4009.45513047,0.00544595,2024-12-08T13:00:43.714620749-05:00
ETH-USD,3990.058098036336,1,ask,4011.70802878,0.00542597,2024-12-08T13:01:43.854615212-05:00
ETH-USD,3988.486830266693,1,ask,4010.40043415685,0.00549421,2024-12-08T13:02:44.000541457-05:00
ETH-USD,3987.93584178526,1,ask,4009.62482365088,0.00543865,2024-12-08T13:03:44.160666658-05:00
ETH-USD,3987.103890462472,1,ask,4008.9421938,0.00547723,2024-12-08T13:04:44.324184293-05:00
ETH-USD,3987.077959580833,1,ask,4008.96768371383,0.00549017,2024-12-08T13:05:44.45028584-05:00
ETH-USD,3982.807605644132,1,ask,4004.52691547,0.00545327,2024-12-08T13:06:44.590958226-05:00
ETH-USD,3985.746326335612,1,ask,4007.37321106,0.00542606,2024-12-08T13:07:44.737407806-05:00
ETH-USD,3983.634180877748,1,ask,4005.19071585,0.00541127,2024-12-08T13:08:44.866524941-05:00
ETH-USD,3985.517291909398,1,ask,4007.39332622,0.00548888,2024-12-08T13:09:45.040203112-05:00
ETH-USD,3987.616085477788,1,ask,4009.20369092,0.00541366,2024-12-08T13:10:45.170381314-05:00
ETH-USD,3986.001207454398,1,ask,4007.67493851,0.00543746,2024-12-08T13:11:45.340246693-05:00
ETH-USD,3985.892186078446,1,ask,4007.54418995,0.00543216,2024-12-08T13:12:45.482794113-05:00
ETH-USD,3984.259908965302,1,ask,4005.67347977,0.00537454,2024-12-08T13:13:45.637416264-05:00
ETH-USD,3982.398419114268,1,ask,4003.8027696,0.00537474,2024-12-08T13:14:45.784617897-05:00
ETH-USD,3982.443726913742,1,ask,4003.95363332,0.00540118,2024-12-08T13:15:45.943162746-05:00
ETH-USD,3983.86865449782,1,ask,4005.57290395,0.00544803,2024-12-08T13:16:46.082011965-05:00
ETH-USD,3981.91714287693,1,ask,4003.50104215,0.00542048,2024-12-08T13:17:46.228184411-05:00
ETH-USD,3981.128057725,1,ask,4002.79701145,0.00544292,2024-12-08T13:18:46.380391584-05:00
ETH-USD,3978.235362193982,1,ask,4000.0613493,0.00548635,2024-12-08T13:19:46.511079544-05:00
ETH-USD,3977.97333639879,1,ask,3999.75962186,0.00547673,2024-12-08T13:20:46.661394513-05:00
ETH-USD,3978.132921535,1,ask,3999.97083107,0.00548949,2024-12-08T13:21:46.801534302-05:00
ETH-USD,3975.275651888606,1,ask,3996.84292328,0.00542535,2024-12-08T13:22:46.945582714-05:00
ETH-USD,3972.159650001834,1,ask,3993.85582166,0.00546206,2024-12-08T13:23:47.080104473-05:00
ETH-USD,3972.215733567666,1,ask,3993.79547617,0.00543267,2024-12-08T13:24:47.460496503-05:00
ETH-USD,3971.865085353184,1,ask,3993.39317293,0.00542015,2024-12-08T13:25:47.616957106-05:00
ETH-USD,3970.464380186888,1,ask,3992.09574496,0.00544807,2024-12-08T13:26:47.780324889-05:00
ETH-USD,3970.25789082969,1,ask,3991.80407511,0.0054269,2024-12-08T13:27:47.924028613-05:00
ETH-USD,3973.7821065,1,ask,3995.689201,0.00551291,2024-12-08T13:28:48.065831862-05:00
ETH-USD,3972.929433587403,1,ask,3994.86390451383,0.00552098,2024-12-08T13:29:48.205575946-05:00
ETH-USD,3972.973356400612,1,ask,3994.940441611224,0.00552913,2024-12-08T13:30:48.353804895-05:00
ETH-USD,3972.00897852919,1,ask,3993.77536101,0.00547994,2024-12-08T13:31:48.512216299-05:00
ETH-USD,3969.321999314516,1,ask,3991.16038992,0.00550179,2024-12-08T13:32:48.678556437-05:00
ETH-USD,3972.023850731648,1,ask,3993.87593682,0.0055015,2024-12-08T13:33:48.81870643-05:00
ETH-USD,3973.201853053125,1,ask,3995.10063110625,0.00551162,2024-12-08T13:34:48.975053216-05:00
ETH-USD,3973.369534926186,1,ask,3995.12307689,0.00547483,2024-12-08T13:35:49.11861426-05:00
ETH-USD,3976.198789297432,1,ask,3997.85873899,0.0054474,2024-12-08T13:36:49.258521565-05:00
ETH-USD,3975.131100335,1,ask,3996.95355667,0.00548975,2024-12-08T13:37:49.405700682-05:00
ETH-USD,3973.265869978438,1,ask,3995.227068666876,0.00552724,2024-12-08T13:38:49.551707174-05:00
ETH-USD,3974.01952830038,1,ask,3995.78687725,0.00547741,2024-12-08T13:39:49.703244163-05:00
ETH-USD,3974.303976790982,1,ask,3996.11877743,0.00548896,2024-12-08T13:40:49.862507869-05:00
ETH-USD,3975.1447091882,1,ask,3997.0948797864,0.00552185,2024-12-08T13:41:50.032511479-05:00
ETH-USD,3975.89028386204,1,ask,3997.79715372408,0.00550993,2024-12-08T13:42:50.177974768-05:00
ETH-USD,3975.933697605,1,ask,3997.787603,0.00549655,2024-12-08T13:43:50.332336784-05:00
ETH-USD,3976.925910140064,1,ask,3998.790218,0.00549779,2024-12-08T13:44:50.470022521-05:00
ETH-USD,3977.069803537392,1,ask,3998.938227074784,0.00549863,2024-12-08T13:45:50.615393412-05:00
ETH-USD,3976.198125061444,1,ask,3998.01966029,0.00548804,2024-12-08T13:46:50.754619539-05:00
ETH-USD,3975.30635267836,1,ask,3997.18488104,0.00550361,2024-12-08T13:47:50.860596028-05:00
ETH-USD,3975.0202905,1,ask,3996.934431,0.00551296,2024-12-08T13:48:51.00447544-05:00
ETH-USD,3975.727003219748,1,ask,3997.49666606,0.00547564,2024-12-08T13:49:51.149383281-05:00
ETH-USD,3976.438212514948,1,ask,3998.185109,0.00546894,2024-12-08T13:50:51.292798164-05:00
ETH-USD,3975.26754576087,1,ask,3997.08430523,0.00548812,2024-12-08T13:51:51.43970955-05:00
ETH-USD,3975.471025154642,1,ask,3997.21505379,0.00546955,2024-12-08T13:52:51.592842529-05:00
ETH-USD,3975.288784685324,1,ask,3997.21505379,0.00551564,2024-12-08T13:53:51.7593925-05:00
ETH-USD,3976.115463441252,1,ask,3998.06994819,0.00552159,2024-12-08T13:54:51.903555097-05:00
ETH-USD,3975.090215777518,1,ask,3996.85298086,0.00547479,2024-12-08T13:55:52.04458835-05:00
ETH-USD,3973.63147727612,1,ask,3995.4483028385,0.0054904,2024-12-08T13:56:52.181785171-05:00
ETH-USD,3973.210372836974,1,ask,3995.08284656,0.00550499,2024-12-08T13:57:52.326634452-05:00
ETH-USD,3975.248533666528,1,ask,3996.94349909,0.00545751,2024-12-08T13:58:52.475780292-05:00
ETH-USD,3971.76989588878,1,ask,3993.61477977756,0.00550004,2024-12-08T13:59:52.627348295-05:00
ETH-USD,3969.79948299222,1,ask,3991.39171429,0.00543912,2024-12-08T14:00:52.838973271-05:00
ETH-USD,3971.654443877826,1,ask,3993.42334567,0.00548107,2024-12-08T14:01:52.983839179-05:00
ETH-USD,3975.168990265,1,ask,3996.81275053,0.00544474,2024-12-08T14:02:53.135690474-05:00
ETH-USD,3974.911489290002,1,ask,3996.73228988,0.00548963,2024-12-08T14:03:53.291417286-05:00
ETH-USD,3976.120082736382,1,ask,3997.84868141,0.00546477,2024-12-08T14:04:53.442653918-05:00
ETH-USD,3976.178979555024,1,ask,3998.06994819,0.00550553,2024-12-08T14:05:53.584076375-05:00
ETH-USD,3978.597985629968,1,ask,4000.40330707,0.00548065,2024-12-08T14:06:53.72863742-05:00
ETH-USD,3976.353262975914,1,ask,3998.29121498,0.0055171,2024-12-08T14:07:53.865705058-05:00
ETH-USD,3977.814067144928,1,ask,3999.45789442,0.00544114,2024-12-08T14:08:54.00241215-05:00
ETH-USD,3977.394061395,1,ask,3999.25674279,0.00549674,2024-12-08T14:09:54.154850966-05:00
ETH-USD,3975.181458526994,1,ask,3997.168378463988,0.00553105,2024-12-08T14:10:54.298339298-05:00
ETH-USD,3973.73212593152,1,ask,3995.31417093,0.00543118,2024-12-08T14:11:54.45260829-05:00
ETH-USD,3971.775918284436,1,ask,3993.70495794,0.00552122,2024-12-08T14:12:54.599782417-05:00
ETH-USD,3970.475494701998,1,ask,3992.40752998,0.00552378,2024-12-08T14:13:54.740282048-05:00
ETH-USD,3969.873653451318,1,ask,3991.71355688,0.00550141,2024-12-08T14:14:54.884263227-05:00
ETH-USD,3970.799578737894,1,ask,3992.6086816,0.00549237,2024-12-08T14:15:55.016182484-05:00
ETH-USD,3969.256296200718,1,ask,3991.04975653,0.00549057,2024-12-08T14:16:55.161199557-05:00
ETH-USD,3967.53328540287,1,ask,3989.18910404,0.00545826,2024-12-08T14:17:55.294968811-05:00
ETH-USD,3970.084868839696,1,ask,3991.97637037922,0.00551411,2024-12-08T14:18:55.453672114-05:00
ETH-USD,3969.306767251917,1,ask,3991.06378066741,0.00548131,2024-12-08T14:19:55.604103255-05:00
ETH-USD,3972.552039534073,1,ask,3994.21966327229,0.00545433,2024-12-08T14:20:56.00278919-05:00
ETH-USD,3973.572274218949,1,ask,3995.30439136369,0.00546916,2024-12-08T14:21:56.139236448-05:00
ETH-USD,3973.913583008428,1,ask,3995.866014506856,0.00552413,2024-12-08T14:22:56.280920962-05:00
ETH-USD,3972.76490215715,1,ask,3994.53978024074,0.00548104,2024-12-08T14:23:56.416144256-05:00
ETH-USD,3972.320523345464,1,ask,3994.15954316952,0.0054978,2024-12-08T14:24:56.567673239-05:00
ETH-USD,3971.946380107928,1,ask,3993.66472762,0.00546794,2024-12-08T14:25:56.712247507-05:00
ETH-USD,3971.146196430476,1,ask,3992.93933269562,0.00548787,2024-12-08T14:26:56.872252931-05:00
ETH-USD,3972.491535357606,1,ask,3994.27824007,0.00548439,2024-12-08T14:27:57.029293543-05:00
ETH-USD,3972.281653141782,1,ask,3993.82564892,0.00542358,2024-12-08T14:28:57.183330358-05:00
ETH-USD,3973.018792426208,1,ask,3994.72077364,0.00546234,2024-12-08T14:29:57.336643861-05:00
ETH-USD,3975.77284359,1,ask,3997.32568718,0.00542105,2024-12-08T14:30:57.495213476-05:00
ETH-USD,3978.553576784142,1,ask,4000.46365256,0.00550705,2024-12-08T14:31:57.64757366-05:00
ETH-USD,3987.880480666714,1,ask,4009.38472739,0.0053924,2024-12-08T14:32:57.816489373-05:00
ETH-USD,3987.386350711214,1,ask,4009.216126,0.00547471,2024-12-08T14:33:57.973313944-05:00
ETH-USD,3984.547646743386,1,ask,4006.297942,0.00545866,2024-12-08T14:34:58.144872648-05:00
ETH-USD,3985.622630491218,1,ask,4007.57431,0.00550772,2024-12-08T14:35:58.345117347-05:00
ETH-USD,3987.581869583974,1,ask,4009.60599419,0.00552318,2024-12-08T14:36:58.516389326-05:00
ETH-USD,3990.048478305026,1,ask,4011.919238,0.00548133,2024-12-08T14:37:58.672783105-05:00
ETH-USD,3988.655967625482,1,ask,4010.681356,0.00552201,2024-12-08T14:38:58.845680456-05:00
ETH-USD,3988.204672244322,1,ask,4010.13904602,0.00549981,2024-12-08T14:39:58.988390582-05:00
ETH-USD,3987.0613948,1,ask,4009.032034,0.00551048,2024-12-08T14:40:59.135223153-05:00
ETH-USD,3988.234415951434,1,ask,4010.11893086,0.00548727,2024-12-08T14:41:59.27162289-05:00
ETH-USD,3991.940754495174,1,ask,4013.85029371,0.00548844,2024-12-08T14:42:59.417939567-05:00
ETH-USD,3991.742987955,1,ask,4013.710339,0.0055032,2024-12-08T14:43:59.568812319-05:00
ETH-USD,3989.067535661802,1,ask,4011.034649,0.00550683,2024-12-08T14:44:59.721040285-05:00
ETH-USD,3990.510733399674,1,ask,4012.5107681744,0.00551309,2024-12-08T14:45:59.873555068-05:00
ETH-USD,3991.834845885243,1,ask,4013.73263028429,0.00548564,2024-12-08T14:47:00.0196651-05:00
ETH-USD,3991.406671905,1,ask,4013.395787,0.00550911,2024-12-08T14:48:00.175659753-05:00
ETH-USD,3989.82299296523,1,ask,4011.75460593046,0.00549689,2024-12-08T14:49:00.318364665-05:00
ETH-USD,3987.491451979985,1,ask,4009.43379995997,0.00550279,2024-12-08T14:50:00.482176917-05:00
ETH-USD,3988.500395409447,1,ask,4010.47975098429,0.00551068,2024-12-08T14:51:00.628421098-05:00
ETH-USD,3987.619927468986,1,ask,4009.4350153,0.0054707,2024-12-08T14:52:00.765161827-05:00
ETH-USD,3988.044925020288,1,ask,4009.80714583,0.00545686,2024-12-08T14:53:01.910492833-05:00
ETH-USD,3987.330774248926,1,ask,4009.19363334,0.00548308,2024-12-08T14:54:02.052491895-05:00
ETH-USD,3987.173812530914,1,ask,4009.00253929,0.00547474,2024-12-08T14:55:02.204752496-05:00
ETH-USD,3989.415214662186,1,ask,4010.97382531,0.00540395,2024-12-08T14:56:02.349991142-05:00
ETH-USD,3990.4192998,1,ask,4012.3617716,0.00549879,2024-12-08T14:57:02.502345634-05:00
ETH-USD,3990.961588307684,1,ask,4012.7952654524,0.00547078,2024-12-08T14:58:02.645177921-05:00
ETH-USD,3993.538684186654,1,ask,4015.52990989,0.0055067,2024-12-08T14:59:02.80209208-05:00
ETH-USD,3993.460841546528,1,ask,4015.21812485,0.00544823,2024-12-08T15:00:02.949372749-05:00
ETH-USD,3991.282741129362,1,ask,4013.00545683,0.00544254,2024-12-08T15:01:03.099572194-05:00
ETH-USD,3993.542209648202,1,ask,4015.32875825,0.00545544,2024-12-08T15:02:03.249431582-05:00
ETH-USD,3994.527123585914,1,ask,4016.280097,0.00544569,2024-12-08T15:03:03.392694245-05:00
ETH-USD,3988.59460075915,1,ask,4010.430218,0.00547451,2024-12-08T15:04:03.54010798-05:00
ETH-USD,3990.954720920144,1,ask,4012.73390212,0.00545714,2024-12-08T15:05:03.685773005-05:00
ETH-USD,3989.395386842309,1,ask,4011.28802903583,0.00548771,2024-12-08T15:06:03.815820001-05:00
ETH-USD,3989.413516977579,1,ask,4011.22561850183,0.0054675,2024-12-08T15:07:03.967827882-05:00
ETH-USD,3989.119402405094,1,ask,4010.830097,0.00544248,2024-12-08T15:08:04.08311414-05:00
ETH-USD,3989.204867305238,1,ask,4010.76261609,0.00540402,2024-12-08T15:09:04.24850814-05:00
ETH-USD,3990.623839216616,1,ask,4012.24108061,0.00541701,2024-12-08T15:10:04.380998764-05:00
ETH-USD,3990.541459477349,1,ask,4012.32963999491,0.00545996,2024-12-08T15:11:04.533521519-05:00
ETH-USD,3988.610058322852,1,ask,4010.36434325854,0.0054541,2024-12-08T15:12:04.672079408-05:00
ETH-USD,3990.274484678085,1,ask,4012.10134235617,0.00547001,2024-12-08T15:13:04.812745931-05:00
ETH-USD,3987.633522944703,1,ask,4009.39209487883,0.00545651,2024-12-08T15:14:04.953579015-05:00
ETH-USD,3988.44980994,1,ask,4009.99823988,0.00540271,2024-12-08T15:15:05.084223341-05:00
ETH-USD,3986.785872786132,1,ask,4008.57006328,0.0054641,2024-12-08T15:16:05.207001061-05:00
ETH-USD,3986.274215213586,1,ask,4008.15123638624,0.00548809,2024-12-08T15:17:06.364082342-05:00
ETH-USD,3985.213668980515,1,ask,4007.14687622103,0.00550365,2024-12-08T15:18:06.526045267-05:00
ETH-USD,3987.361357124234,1,ask,4008.98242413,0.0054224,2024-12-08T15:19:06.66088507-05:00
ETH-USD,3987.57719038233,1,ask,4009.29721376466,0.00544692,2024-12-08T15:20:06.800064357-05:00
ETH-USD,3989.442259451845,1,ask,4011.24473690369,0.00546504,2024-12-08T15:21:06.937331956-05:00
ETH-USD,3989.443956097454,1,ask,4011.22362567348,0.00545932,2024-12-08T15:22:07.107467611-05:00
ETH-USD,3988.703999460933,1,ask,4010.51663007267,0.0054686,2024-12-08T15:23:07.244833095-05:00
ETH-USD,3988.73961734925,1,ask,4010.4863425625,0.00545203,2024-12-08T15:24:07.371046549-05:00
ETH-USD,3991.510985205196,1,ask,4013.35262793998,0.00547202,2024-12-08T15:25:07.519440106-05:00
ETH-USD,3991.500013533389,1,ask,4013.18651768429,0.00543317,2024-12-08T15:26:07.682781005-05:00
ETH-USD,3989.5455739893,1,ask,4011.4739383286,0.00549646,2024-12-08T15:27:07.835472714-05:00
ETH-USD,3990.157686567865,1,ask,4012.00530241175,0.00547538,2024-12-08T15:28:07.978625949-05:00
ETH-USD,3990.569457837942,1,ask,4012.42423224716,0.00547661,2024-12-08T15:29:08.126278037-05:00
