symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
ETH-USD,3713.99142,1,ask,3714.05284,0.00001654,2024-12-11T06:04:10.139541796-05:00
ETH-USD,3713.70142,1,ask,3713.76284,0.00001654,2024-12-11T06:05:10.952722738-05:00
ETH-USD,3712.12142,1,ask,3712.18284,0.00001655,2024-12-11T06:06:11.814935573-05:00
ETH-USD,3712.37142,1,ask,3712.43284,0.00001654,2024-12-11T06:07:12.653966627-05:00
ETH-USD,3711.280408,1,ask,3711.470816,0.00005131,2024-12-11T06:08:13.536040323-05:00
ETH-USD,3709.36725,1,ask,3709.4645,0.00002622,2024-12-11T06:09:14.37340219-05:00
ETH-USD,3712.3183225,1,ask,3712.366645,0.00001302,2024-12-11T06:10:15.175297676-05:00
ETH-USD,3712.54642,1,ask,3712.76284,0.00005829,2024-12-11T06:11:15.985717922-05:00
ETH-USD,3712.4204125,1,ask,3712.480825,0.00001627,2024-12-11T06:12:16.771809646-05:00
ETH-USD,3712.383239,1,ask,3712.506478,0.0000332,2024-12-11T06:13:17.5760133-05:00
ETH-USD,3712.16142,1,ask,3712.22284,0.00001655,2024-12-11T06:14:18.435052818-05:00
ETH-USD,3715.03142,1,ask,3715.09284,0.00001653,2024-12-11T06:15:19.256581789-05:00
ETH-USD,3715.51515,1,ask,3715.5403,0.00000677,2024-12-11T06:16:20.101526723-05:00
ETH-USD,3718.6120525,1,ask,3718.854105,0.00006509,2024-12-11T06:17:20.893634748-05:00
ETH-USD,3718.05112,1,ask,3718.07224,0.00000568,2024-12-11T06:18:21.710128208-05:00
ETH-USD,3720.935639,1,ask,3721.171278,0.00006333,2024-12-11T06:19:22.605128382-05:00
ETH-USD,3720.15142,1,ask,3720.21284,0.00001651,2024-12-11T06:20:23.433802122-05:00
ETH-USD,3719.06142,1,ask,3719.12284,0.00001651,2024-12-11T06:21:24.311362347-05:00
ETH-USD,3719.51142,1,ask,3719.57284,0.00001651,2024-12-11T06:22:25.116901592-05:00
ETH-USD,3715.03142,1,ask,3715.09284,0.00001653,2024-12-11T06:23:25.951972302-05:00
ETH-USD,3721.237586,1,ask,3721.465172,0.00006116,2024-12-11T06:24:26.816446512-05:00
ETH-USD,3720.2441695,1,ask,3720.388339,0.00003875,2024-12-11T06:25:27.658543563-05:00
ETH-USD,3710.34243249988,1,ask,3720.61,0.00276728,2024-12-11T06:26:28.527003539-05:00
