symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
LTC-USD,133.1500642555,1,ask,133.8875217555,0.00553854,2024-12-08T12:18:49.251622667-05:00
LTC-USD,133.26413712775,1,ask,133.9963215,0.00549423,2024-12-08T12:19:49.389610083-05:00
LTC-USD,133.36570387775,1,ask,134.1,0.00550588,2024-12-08T12:20:49.535049218-05:00
LTC-USD,133.2400642555,1,ask,133.9780122555,0.00553848,2024-12-08T12:21:49.63939859-05:00
LTC-USD,133.5709945,1,ask,134.29,0.00538295,2024-12-08T12:22:49.790488754-05:00
LTC-USD,133.65080375,1,ask,134.38,0.00545598,2024-12-08T12:23:49.941918226-05:00
LTC-USD,133.62994087775,1,ask,134.35,0.00538846,2024-12-08T12:24:50.091473118-05:00
LTC-USD,133.7179177532,1,ask,134.4563352509,0.0055222,2024-12-08T12:25:50.240572452-05:00
LTC-USD,133.55074167545,1,ask,134.2892763509,0.00552999,2024-12-08T12:26:50.388337318-05:00
LTC-USD,133.50532237775,1,ask,134.24,0.00550298,2024-12-08T12:27:50.525746541-05:00
LTC-USD,133.39916437775,1,ask,134.1370845,0.00553167,2024-12-08T12:28:50.687662508-05:00
LTC-USD,133.2844185665,1,ask,134.015213133,0.00548297,2024-12-08T12:29:50.833799207-05:00
LTC-USD,133.3055856665,1,ask,134.037656333,0.00549167,2024-12-08T12:30:50.983072628-05:00
LTC-USD,133.17095437775,1,ask,133.9076307555,0.00553181,2024-12-08T12:31:51.152281018-05:00
LTC-USD,133.33916437775,1,ask,134.0767575,0.00553171,2024-12-08T12:32:51.31722765-05:00
LTC-USD,133.3376470165,1,ask,134.071942533,0.00550704,2024-12-08T12:33:51.45376875-05:00
LTC-USD,133.44095437775,1,ask,134.1791022555,0.00553164,2024-12-08T12:34:51.608721125-05:00
LTC-USD,133.32969089425,1,ask,134.067756033,0.00553564,2024-12-08T12:35:51.74945886-05:00
LTC-USD,133.36508175,1,ask,134.106921,0.00556247,2024-12-08T12:36:51.88881131-05:00
LTC-USD,133.34095437775,1,ask,134.0785572555,0.00553171,2024-12-08T12:37:52.033337213-05:00
LTC-USD,133.38564937775,1,ask,134.12,0.00550547,2024-12-08T12:38:52.218857621-05:00
LTC-USD,133.68074925,1,ask,134.42,0.00552997,2024-12-08T12:39:52.370442045-05:00
LTC-USD,133.72588409425,1,ask,134.462322433,0.00550707,2024-12-08T12:40:52.545122065-05:00
LTC-USD,133.7526526532,1,ask,134.4860230509,0.00548303,2024-12-08T12:41:52.710796705-05:00
LTC-USD,133.79319417275,1,ask,134.53726959,0.00556138,2024-12-08T12:42:52.853929697-05:00
LTC-USD,133.85123229425,1,ask,134.583727333,0.00547246,2024-12-08T12:43:52.985930299-05:00
LTC-USD,133.93095437775,1,ask,134.6717727555,0.00553135,2024-12-08T12:44:53.118745507-05:00
LTC-USD,133.7400642555,1,ask,134.4807372555,0.00553815,2024-12-08T12:45:53.265997011-05:00
LTC-USD,133.80095437775,1,ask,134.5410642555,0.00553142,2024-12-08T12:46:53.411949863-05:00
