symbol,price,quantity,side,ask_inclusive_of_buy_spread,buy_spread,timestamp
LTC-USD,110.54,1,ask,110.58,0.00036186,2024-12-10T22:18:54.857771923-05:00
LTC-USD,110.475,1,ask,110.53,0.00049785,2024-12-10T22:19:55.522650384-05:00
LTC-USD,110.265,1,ask,110.3,0.00031742,2024-12-10T22:20:56.166543318-05:00
LTC-USD,110.39,1,ask,110.44,0.00045294,2024-12-10T22:21:56.809213029-05:00
LTC-USD,109.985,1,ask,110.03,0.00040915,2024-12-10T22:22:57.405078845-05:00
LTC-USD,110.185,1,ask,110.24,0.00049916,2024-12-10T22:23:58.112899885-05:00
LTC-USD,110.2,1,ask,110.24,0.00036298,2024-12-10T22:24:58.751500692-05:00
LTC-USD,110.07,1,ask,110.14,0.00063596,2024-12-10T22:25:59.452996121-05:00
LTC-USD,110.01,1,ask,110.05,0.0003636,2024-12-10T22:27:00.418023842-05:00
LTC-USD,110.25,1,ask,110.3,0.00045351,2024-12-10T22:28:01.064377675-05:00
LTC-USD,110.22,1,ask,110.28,0.00054437,2024-12-10T22:29:01.72508251-05:00
LTC-USD,110.29,1,ask,110.34,0.00045335,2024-12-10T22:30:02.351489974-05:00
